course,A,B,C,D,F,total,gpa,Q,professor,semester,year,college,department
CHEN-481,24,0,0,0,1,25,3.840,0,AYDOGMUS T ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-481,23,1,0,0,0,24,3.958,0,AYDOGMUS T ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-481,22,2,0,0,0,24,3.916,0,AYDOGMUS T ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-481,22,1,1,0,0,24,3.875,0,RODDEN J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-481,19,3,1,0,0,23,3.782,0,RODDEN J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-482,22,19,5,0,0,46,3.369,0,HILALY A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-482,26,15,0,0,0,41,3.634,0,ZHU X ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-601,72,0,0,0,0,72,4.000,0,SRIPAUL E ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-604,32,31,10,0,0,73,3.301,0,HASAN M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-623,38,21,8,2,0,69,3.376,1,TAMAMIS P ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-631,6,0,0,0,0,6,4.000,0,KRAVARIS C ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-651,10,3,1,0,0,14,3.642,0,SUN Q ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-655,6,4,1,1,1,13,3.000,0,WANG Q ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-659,6,0,0,0,0,6,4.000,0,BLIZZARD G ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-668,9,0,0,0,0,9,4.000,0,SENTMANAT M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-673,9,6,1,1,0,17,3.352,0,LUTKENHAUS J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-689,5,1,0,0,0,6,3.833,0,BARTEAU M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-689,5,1,0,0,0,6,3.833,0,SEMINARIO J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-310,41,10,2,1,0,54,3.685,0,KYLE A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-310,15,1,0,0,0,16,3.937,1,KYLE A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-321,6,9,0,0,0,15,3.400,1,RAHMANI N ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-321,7,3,1,1,0,12,3.333,0,RAHMANI N ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-430,13,9,1,0,0,23,3.521,0,RAHMANI N ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-430,4,6,3,0,0,13,3.076,0,RAHMANI N ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-640,7,1,0,0,0,8,3.875,0,ARUNTHAVANATHAN R ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-655,4,2,1,0,0,7,3.428,0,WANG Q ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-655,3,2,0,0,0,5,3.600,0,WANG Q ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-665,7,1,0,0,0,8,3.875,0,AMIN M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-670,10,0,0,0,0,10,4.000,0,RAHMANI N ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-680,10,1,1,0,0,12,3.750,0,KYLE A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
SENG-680,5,0,0,0,0,5,4.000,0,KYLE A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CVEN-207,20,4,0,0,0,24,3.833,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-207,21,1,0,1,0,23,3.826,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-207,21,3,0,0,0,24,3.875,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-207,22,2,0,0,0,24,3.916,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-207,20,2,0,1,0,23,3.782,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-207,21,2,0,0,0,23,3.913,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-207,21,2,1,0,0,24,3.833,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-207,21,2,1,1,0,25,3.720,0,APPLETON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-221,8,21,23,8,1,61,2.442,17,MERCIER R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-221,21,26,21,4,5,77,2.701,2,POLLALIS W ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-221,10,33,25,3,0,71,2.704,4,MERCIER R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-250,27,8,0,1,1,37,3.594,0,HUTCHINSON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-250,23,10,1,0,1,35,3.542,0,HUTCHINSON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-250,28,4,2,0,0,34,3.764,1,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-250,24,7,1,0,2,34,3.500,1,HUTCHINSON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-301,17,19,4,0,1,41,3.243,2,YAO Y ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-301,2,25,18,1,1,47,2.553,2,LONDON M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-302,16,16,15,3,0,50,2.900,0,QUADRIFOGLIO L ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-302,9,20,11,8,3,51,2.470,9,LIU C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-302,53,10,1,0,0,64,3.812,0,YING Q ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,11,1,0,2,0,14,3.500,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,16,0,1,0,0,17,3.882,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,15,1,0,0,0,16,3.937,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,12,0,1,0,0,13,3.846,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,14,2,0,1,0,17,3.705,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,16,1,0,0,0,17,3.941,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,16,1,0,0,0,17,3.941,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-303,15,0,0,0,0,15,4.000,0,LYLE S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-305,7,29,23,7,2,68,2.470,5,POLLALIS W ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-305,15,33,16,2,2,68,2.838,0,LITTLE D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-305,15,15,11,0,0,41,3.097,1,WU C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-306,34,24,0,0,0,58,3.586,1,LITTLE D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-306,17,41,8,0,0,66,3.136,0,KIM Y ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-306,9,40,19,0,0,68,2.852,0,TAHA R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-307,21,28,6,0,1,56,3.214,0,BALKE K ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-307,36,17,8,0,0,61,3.459,0,ZHANG Y ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-311,11,15,13,2,0,41,2.853,0,CHANG K ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-311,4,21,17,1,0,43,2.651,0,MENDOZA SANCHEZ I ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-311,5,12,14,2,0,33,2.606,1,PAEZ D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-314,22,10,11,1,1,45,3.133,3,HURLEBAUS S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-322,25,48,10,0,0,83,3.180,1,WANG X ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-322,33,43,11,1,1,89,3.191,2,QUADRIFOGLIO L ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-339,28,10,2,1,0,41,3.585,0,TORRES J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-339,9,16,5,0,0,30,3.133,0,MISHRA A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-342,10,18,1,0,0,29,3.310,0,GRASLEY Z ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-342,15,13,1,0,0,29,3.482,0,GRASLEY Z ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-342,5,10,12,0,0,27,2.740,0,TAHA R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-342,1,19,4,1,0,25,2.800,0,TAHA R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-343,9,8,0,0,0,17,3.529,0,ZOLLINGER D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-345,14,19,10,1,2,46,2.913,12,ROCKEY A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-345,19,35,16,2,1,73,2.945,0,MANDER J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-345,12,11,11,5,2,41,2.634,10,ROCKEY A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-345,10,33,12,4,1,60,2.783,11,ROCKEY A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-349,14,16,3,2,0,35,3.200,2,CLARK L ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-349,26,17,6,1,0,50,3.360,0,DAMNJANOVIC I ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-363,8,37,6,1,1,53,2.943,0,LIANG X ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-363,2,16,15,1,0,34,2.558,4,HURLEBAUS S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-363,34,27,7,0,0,68,3.397,0,PAAL S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,10,9,2,0,0,21,3.380,0,AUBENY C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,5,11,5,0,0,21,3.000,0,AUBENY C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,2,8,5,0,0,15,2.800,0,AUBENY C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,6,13,2,0,0,21,3.190,0,AUBENY C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,1,9,3,1,0,14,2.714,0,SANCHEZ CASTILLA M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,2,14,1,0,1,18,2.888,0,SANCHEZ CASTILLA M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,2,10,2,1,1,16,2.687,0,SANCHEZ CASTILLA M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-365,3,10,4,0,0,17,2.941,0,SANCHEZ CASTILLA M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-400,25,13,0,0,0,38,3.657,0,ROGERS A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-400,8,22,0,0,0,30,3.266,0,ROGERS A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-402,3,6,1,0,1,11,2.909,2,CHELLAM S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-405,65,3,1,0,0,69,3.927,1,WALEWSKI J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-417,9,7,1,0,0,17,3.470,0,MARTIN A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-423,15,3,2,1,2,23,3.217,0,OLIVERA F ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-424,15,1,1,0,0,17,3.823,0,SCARFUTO J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-424,9,0,0,0,0,9,4.000,0,SCARFUTO J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-424,20,0,0,0,0,20,4.000,0,ENGLAND P ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-424,22,0,0,0,0,22,4.000,0,ENGLAND P ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-424,19,0,0,0,0,19,4.000,0,ENGLAND P ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-424,18,1,0,0,0,19,3.947,0,SCARFUTO J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-444,22,22,16,2,1,63,2.984,1,QUINTERO FEBRES C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-444,23,19,16,0,2,60,3.016,1,QUINTERO FEBRES C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-444,5,2,6,6,4,23,1.913,4,SIDERIS P ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-445,14,16,4,1,0,35,3.138,1,BIRELY A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-446,19,16,15,3,0,53,2.962,0,BIRELY A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-446,8,10,19,4,0,41,2.536,2,KOLIOU M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-449,26,0,0,0,0,26,4.000,0,HUTCHINSON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-450,52,0,0,0,0,52,4.000,0,HUTCHINSON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-454,20,13,3,0,0,36,3.472,0,BURRIS M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-455,19,6,5,0,0,30,3.466,2,OLIVERA F ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-457,21,5,0,0,0,26,3.807,0,ZHOU Y ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-462,3,18,2,0,0,23,3.043,0,PAEZ D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-465,12,8,2,0,0,22,3.454,0,KAIHATU J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-473,5,8,2,0,0,15,3.200,1,LEVERIDGE A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-473,18,9,1,0,0,28,3.607,0,ROGERS A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-483,15,0,0,0,0,15,4.000,0,SKILLEN K ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-601,2,9,1,0,0,12,3.083,0,CHU K ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-617,8,6,0,0,0,14,3.571,0,LORD D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-619,12,0,0,0,0,12,4.000,1,YING Q ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-620,6,6,1,0,0,13,3.384,0,MA X ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-621,18,12,0,0,0,30,3.600,0,HUESTE M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-622,10,3,0,0,0,13,3.769,0,ZOLLINGER D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-624,19,1,0,0,0,20,3.950,0,GHARAIBEH N ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-627,9,6,0,0,0,15,3.600,0,GAO H ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-628,7,2,0,0,0,9,3.777,2,SOCOLOFSKY S ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-633,18,14,1,4,0,37,3.243,1,NOSHADRAVAN A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-635,16,5,0,0,0,21,3.761,0,LORD D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-638,37,0,0,0,0,37,4.000,0,WALEWSKI J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-645,9,1,0,0,0,10,3.900,0,BRIAUD J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-649,5,8,0,0,0,13,3.384,0,SANCHEZ CASTILLA M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-651,13,1,0,0,0,14,3.928,0,MEDINA CETINA Z ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-656,12,8,3,0,0,23,3.391,0,KEATING P ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-657,7,19,10,2,0,38,2.815,2,BARROSO L ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-658,2,3,2,0,1,8,2.625,0,OLIVERA F ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-668,37,0,0,0,0,37,4.000,0,MOSTAFAVI A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-671,17,14,0,0,0,31,3.548,0,MANDER J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-672,12,5,0,0,0,17,3.705,0,WANG X ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-696,8,1,0,0,0,9,3.888,0,ZHOU Y ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-717,31,0,0,0,0,31,4.000,1,WOLF C ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-721,8,3,1,0,0,12,3.583,0,HUANG J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-749,11,0,0,0,0,11,4.000,0,HUTCHINSON R ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CVEN-751,5,6,0,0,0,11,3.454,0,NAJAFI M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-201,17,1,0,1,0,19,3.789,0,LONDON M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-201,14,1,0,0,0,15,3.933,0,LONDON M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-301,4,0,2,1,0,7,3.000,1,LONDON M ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-311,0,3,1,1,0,5,2.400,0,CHANG K ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-320,16,16,4,2,0,38,3.210,0,CHEN W ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-339,6,5,0,0,0,11,3.545,0,TORRES J ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-339,5,6,1,1,0,13,3.153,0,MISHRA A ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-400,10,1,0,0,0,11,3.909,0,BHATTI Z ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-400,18,0,0,0,0,18,4.000,0,BHATTI Z ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-404,7,2,0,0,0,9,3.777,0,BHATTI Z ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-404,3,2,0,0,0,5,3.600,0,BHATTI Z ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
EVEN-462,8,7,0,1,1,17,3.176,0,PAEZ D ,FALL,2024,ENGINEERING,CIVIL & ENVIRONMENTAL ENGR
CYBR-201,72,4,0,0,0,76,3.947,2,ROMERO J ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
CYBR-402,5,2,0,0,0,7,3.714,0,DEWITTE P ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
CYBR-403,5,4,1,0,0,10,3.400,0,ANWAR S ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
CYBR-405,45,0,1,0,0,46,3.956,1,PRICE P ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
CYBR-601,14,0,0,0,0,14,4.000,0,ROMERO J ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
CYBR-602,12,0,0,0,0,12,4.000,0,DEWITTE P ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
CYBR-603,12,1,0,0,0,13,3.923,0,DEWITTE P ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
CYBR-604,7,6,1,0,0,14,3.428,0,CARLISLE M ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,24,12,1,0,0,37,3.621,0,CAHILL A ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,33,6,1,0,1,41,3.707,0,MOORE J ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,29,10,1,0,0,40,3.700,0,SPEARS C ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,35,7,0,0,0,42,3.833,0,MCKENZIE J ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,34,6,3,0,0,43,3.720,0,ELMS R ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,27,7,1,0,0,35,3.742,0,ELMS R ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,26,5,1,0,0,32,3.781,0,MORRIS E ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,31,12,0,0,1,44,3.636,0,OSTROVSKAYA N ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,34,7,1,2,0,44,3.659,0,OSTROVSKAYA N ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,34,8,2,0,0,44,3.727,0,SPEARS C ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,16,18,14,5,3,56,2.696,5,MORTE M ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,3,12,9,2,0,26,2.615,1,MORTE M ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,7,5,13,0,0,25,2.760,3,LARA RUIZ J ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,6,6,8,1,0,21,2.809,0,SCHAEFER K ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,13,10,6,1,1,31,3.064,1,SCHAEFER K ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,8,8,5,1,0,22,3.045,0,RITCHEY S ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,5,19,5,0,0,29,3.000,1,OSTROVSKAYA N ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,32,16,8,1,1,58,3.327,0,WHITE L ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,11,10,5,2,2,30,2.866,1,WHITE L ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,26,23,5,2,4,60,3.083,2,WHITE L ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,24,27,10,3,0,64,3.125,0,LENFEST S ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,9,11,9,0,0,29,3.000,1,GIBSON E ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,11,13,6,1,0,31,3.096,0,LENFEST S ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,15,13,3,1,0,32,3.312,0,SUSINDAR S ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,12,12,4,1,0,29,3.206,2,MORTE M ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,27,22,10,3,1,63,3.126,0,MORTE M ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,24,21,16,1,2,64,3.000,0,MORRIS E ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,38,39,13,2,0,92,3.228,3,MORRIS E ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,29,32,22,3,0,86,3.011,4,SPEARS C ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,35,32,15,5,2,89,3.044,0,MCKENZIE J ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,15,14,11,0,0,40,3.100,3,CAHILL A ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
ENGR-102,22,43,11,0,0,76,3.144,2,LARA RUIZ J ,FALL,2024,ENGINEERING,COLLEGE OF ENGINEERING
