course,A,B,C,D,F,total,gpa,Q,professor,semester,year,college,department
AERO-455,15,20,6,0,0,41,3.219,0,MOBLE B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,15,9,1,1,0,26,3.461,1,SELVA VALERO D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,29,14,2,0,1,46,3.521,3,CONNOLLY J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,7,2,0,0,0,9,3.777,0,DUNBAR B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-489,15,7,0,0,0,22,3.681,1,TALREJA R ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-603,8,8,6,1,0,23,3.000,0,BOYD J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-604,18,2,0,0,0,20,3.900,0,HARTL D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-604,2,2,2,0,0,6,3.000,0,HARTL D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-607,19,5,0,0,0,24,3.791,0,DUNBAR B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-607,12,3,0,0,0,15,3.800,0,DUNBAR B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-614,15,2,1,0,0,18,3.777,0,DIAZ ARTILES A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-614,6,1,0,0,0,7,3.857,0,DIAZ ARTILES A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-622,17,18,4,0,1,40,3.250,0,DEMARS K ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-625,22,11,0,0,0,33,3.666,0,VALASEK J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-641,11,4,0,0,0,15,3.733,1,KARPETIS A ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-649,13,0,0,0,0,13,4.000,0,STROUBOULIS T ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-655,9,1,1,0,0,11,3.727,0,MOBLE B ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-685,5,0,0,0,0,5,4.000,1,LAGOUDAS D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-689,17,12,2,0,0,31,3.483,0,JACKSON S ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-689,12,3,0,0,0,15,3.800,2,SELVA VALERO D ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
AERO-689,4,2,0,0,0,6,3.666,1,TAKACHI TOMITA J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
MEMA-646,2,1,3,1,0,7,2.571,2,WHITCOMB J ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
MEMA-649,5,0,0,0,0,5,4.000,0,STROUBOULIS T ,FALL,2024,ENGINEERING,AEROSPACE ENGINEERING
BMEN-201,25,19,2,0,1,47,3.425,0,HORN J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-201,24,31,3,0,1,59,3.305,1,HORN J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-201,16,16,5,0,1,38,3.210,1,HORN J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-250,6,0,0,0,0,6,4.000,0,HOYT K ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-250,9,2,1,0,0,12,3.666,0,HOYT K ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-253,58,6,0,0,0,64,3.906,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-253,43,6,0,0,0,49,3.877,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-253,41,2,0,0,0,43,3.953,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-311,15,12,1,0,2,30,3.266,2,YAKOVLEV V ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,3,5,0,0,0,8,3.375,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,2,5,0,0,0,7,3.285,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,5,2,0,0,0,7,3.714,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,2,4,1,0,0,7,3.142,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,3,3,0,1,0,7,3.142,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,0,7,2,0,0,9,2.777,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,3,4,1,1,0,9,3.000,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,2,3,1,0,0,6,3.166,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,4,3,0,0,0,7,3.571,0,REYNOLDS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,1,3,1,0,0,5,3.000,0,REYNOLDS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,1,5,1,0,0,7,3.000,0,REYNOLDS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,2,3,0,2,0,7,2.714,1,REYNOLDS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,1,4,1,0,0,6,3.000,0,REYNOLDS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,2,4,1,0,1,8,2.750,1,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,3,6,0,0,0,9,3.333,0,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,0,5,2,0,0,7,2.714,1,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,5,2,0,0,0,7,3.714,1,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,1,6,0,0,0,7,3.142,1,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-321,2,5,1,0,0,8,3.125,1,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
